,Open,High,Low,Close,Volume,Risk Free Rate
2020-01-01,128.54,132.68,128.12,130.19,57512.49500629,
2020-01-02,130.14,130.18,125.83,126.81,49211.56901537,0.01881999969482422
2020-01-03,126.81,134.93,125.52,134.17,88651.89284841,0.01787999987602234
2020-01-04,134.17,135.75,132.5,134.14,31254.84712421,0.01787999987602234
2020-01-05,134.14,138.97,134.14,135.31,45353.69311227,0.01787999987602234
2020-01-06,135.31,144.51,134.78,144.19,91523.60992709,0.018109999895095825
2020-01-07,144.2,145.25,138.79,143.08,96525.42253821,0.018270000219345092
2020-01-08,143.08,148.0,137.03,140.6,101682.09291578,0.018739999532699586
2020-01-09,140.64,141.38,135.12,137.71,61184.99933797,0.018580000400543212
2020-01-10,137.72,145.81,135.26,144.72,137620.99823131,0.01825000047683716
2020-01-11,144.89,148.0,142.0,142.63,52850.50876755,0.01825000047683716
2020-01-12,142.51,146.6,141.83,146.6,35450.66532334,0.01825000047683716
2020-01-13,146.55,147.0,142.1,143.51,44072.65864059,0.018480000495910646
2020-01-14,143.5,170.83,143.45,165.76,258408.61594025,0.018179999589920046
2020-01-15,165.74,172.18,159.13,166.29,165292.68609565,0.01787999987602234
2020-01-16,166.27,167.28,158.17,163.93,88188.75031049,0.018090000152587892
2020-01-17,164.0,174.52,162.01,169.59,134919.66648757,0.018359999656677246
2020-01-18,169.54,179.32,164.92,174.06,113052.32285408,0.018359999656677246
2020-01-19,174.05,178.0,161.7,166.75,113433.68959115,0.018359999656677246
2020-01-20,166.67,169.3,161.1,166.68,66340.77435099,0.018359999656677246
2020-01-21,166.66,170.0,164.28,169.19,61518.4955582,0.01769000053405762
2020-01-22,169.29,171.05,165.65,167.68,49452.51856158,0.01769000053405762
2020-01-23,167.73,167.79,158.44,162.4,69309.04423236,0.01740000009536743
2020-01-24,162.49,164.21,154.48,162.3,88510.10066684,0.01680999994277954
2020-01-25,162.31,162.41,157.4,160.12,36677.5237579,0.01680999994277954
2020-01-26,160.0,167.59,159.09,167.35,44653.7353865,0.01680999994277954
2020-01-27,167.58,171.7,164.89,169.77,84463.87778454,0.016050000190734864
2020-01-28,169.78,176.5,169.78,175.99,102264.17475594,0.016410000324249267
2020-01-29,175.91,178.31,173.13,173.45,85409.92407361,0.01593999981880188
2020-01-30,173.41,186.89,170.0,184.55,104426.47390742,0.015579999685287475
2020-01-31,184.52,185.68,175.0,179.74,108639.77662455,0.015199999809265136
2020-02-01,179.72,184.2,179.0,183.5,65650.16851655,0.015199999809265136
2020-02-02,183.49,193.52,178.98,188.29,96138.84421015,0.015199999809265136
