,Open,High,Low,Close,Volume,Risk Free Rate
2020-01-01,0.1923,0.1949,0.1908,0.1925,12350446.0,
2020-01-02,0.1922,0.1925,0.1846,0.1872,18833201.0,0.01881999969482422
2020-01-03,0.187,0.1938,0.1842,0.1931,25773976.0,0.01787999987602234
2020-01-04,0.1931,0.1936,0.191,0.193,9747988.0,0.01787999987602234
2020-01-05,0.1929,0.1974,0.1929,0.1946,12819843.0,0.01787999987602234
2020-01-06,0.1945,0.224,0.1942,0.2234,57374820.0,0.018109999895095825
2020-01-07,0.2234,0.2257,0.207,0.2137,47044434.0,0.018270000219345092
2020-01-08,0.2138,0.2187,0.2028,0.2073,44590795.0,0.018739999532699586
2020-01-09,0.2074,0.2087,0.201,0.2036,27319450.0,0.018580000400543212
2020-01-10,0.2038,0.213,0.2,0.213,33912788.0,0.01825000047683716
2020-01-11,0.213,0.2199,0.2084,0.2119,30920815.0,0.01825000047683716
2020-01-12,0.2119,0.217,0.21,0.2154,18393811.0,0.01825000047683716
2020-01-13,0.2155,0.2158,0.2096,0.2116,19287862.0,0.018480000495910646
2020-01-14,0.2115,0.2462,0.2115,0.235,91002053.0,0.018179999589920046
2020-01-15,0.2349,0.2437,0.226,0.2335,60148015.0,0.01787999987602234
2020-01-16,0.2335,0.2348,0.2211,0.2287,46248524.0,0.018090000152587892
2020-01-17,0.2288,0.2442,0.2264,0.2386,63242169.0,0.018359999656677246
2020-01-18,0.2388,0.2559,0.2314,0.2433,55222470.0,0.018359999656677246
2020-01-19,0.2434,0.2517,0.2268,0.2356,44927222.0,0.018359999656677246
2020-01-20,0.2357,0.2363,0.2235,0.2328,32848901.0,0.018359999656677246
2020-01-21,0.2328,0.2416,0.2294,0.2369,31071525.0,0.01769000053405762
2020-01-22,0.2371,0.2395,0.2319,0.2368,19256773.0,0.01769000053405762
2020-01-23,0.2368,0.2368,0.2204,0.2254,33153482.0,0.01740000009536743
2020-01-24,0.2254,0.2258,0.213,0.2221,38498223.0,0.01680999994277954
2020-01-25,0.2219,0.2223,0.216,0.2191,15916670.0,0.01680999994277954
2020-01-26,0.2188,0.2319,0.2177,0.2308,17681285.0,0.01680999994277954
2020-01-27,0.231,0.2335,0.2259,0.2304,24156568.0,0.016050000190734864
2020-01-28,0.2306,0.2411,0.2304,0.2399,32189648.0,0.016410000324249267
2020-01-29,0.2394,0.2418,0.2337,0.2351,33015643.0,0.01593999981880188
2020-01-30,0.2351,0.2468,0.23,0.2435,40902028.0,0.015579999685287475
2020-01-31,0.2436,0.245,0.233,0.2393,29850999.0,0.015199999809265136
2020-02-01,0.2393,0.2428,0.2367,0.2413,27036509.0,0.015199999809265136
