lookback_period,body_multiplier,backcandles,test_candles,max_drawdown_threshold,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals
10.0,2.0,30.0,5.0,0.6,13.270434080347206,13.820795332482842,-3.982124319879974,0.06315335198489617,0.054985103972787205,14.855383407388908,0.6093091917524467,0.7667059828725817,-20.528963466598213,45,29,1873
10.0,2.0,45.0,5.0,0.6,12.695893889747326,13.820795332482842,-8.139194711115312,0.061433488477944394,0.054985103972787205,11.727511706349727,0.5813203939171555,0.7667059828725817,-24.17948902144348,50,32,1865
10.0,1.0,30.0,5.0,0.6,12.591324449865226,13.820795332482842,-8.895804134571081,0.06280601381991194,0.054985103972787205,14.223688384758526,0.5591988335277206,0.7667059828725817,-27.064761979214474,55,37,1855
30.0,1.0,30.0,5.0,0.6,12.509104522399621,13.820795332482842,-9.490704250575002,0.06266677096062723,0.054985103972787205,13.970450963667854,0.5591988335277206,0.7667059828725817,-27.064761979214474,56,37,1854
50.0,1.0,30.0,5.0,0.6,12.509104522399621,13.820795332482842,-9.490704250575002,0.06266677096062723,0.054985103972787205,13.970450963667854,0.5591988335277206,0.7667059828725817,-27.064761979214474,55,37,1855
10.0,1.5,60.0,10.0,0.6,12.420120454863115,13.820795332482842,-10.13454612360649,0.05826443359198652,0.054985103972787205,5.964032769352031,0.6346948144861743,0.7667059828725817,-17.21796507858297,37,19,1891
30.0,1.0,60.0,10.0,0.6,12.420120454863115,13.820795332482842,-10.13454612360649,0.05826443359198652,0.054985103972787205,5.964032769352031,0.6346948144861743,0.7667059828725817,-17.21796507858297,39,21,1887
10.0,1.0,60.0,10.0,0.6,12.420120454863115,13.820795332482842,-10.13454612360649,0.05826443359198652,0.054985103972787205,5.964032769352031,0.6346948144861743,0.7667059828725817,-17.21796507858297,38,22,1887
50.0,1.0,60.0,10.0,0.6,12.420120454863115,13.820795332482842,-10.13454612360649,0.05826443359198652,0.054985103972787205,5.964032769352031,0.6346948144861743,0.7667059828725817,-17.21796507858297,38,21,1888
10.0,1.0,45.0,5.0,0.6,11.871284135579778,13.820795332482842,-14.105636832065315,0.062161315060535675,0.054985103972787205,13.05119126682031,0.639403529892972,0.7667059828725817,-16.603816302913348,62,46,1839
