lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
50.0,1.5,30.0,10.0,0.9711158402019828,0.7307369198580229,32.895411989127886,0.07496277331890336,0.05684432359151711,31.873806534466482,0.5566065940731817,0.838015349610509,-33.580381990391935,31,24,2986,5798.440443515009,5851.948854429446
50.0,2.0,30.0,10.0,0.9678623396971442,0.7307369198580229,32.45017644451208,0.074258442464006,0.05684432359151711,30.634754311840556,0.5566065940731817,0.838015349610509,-33.580381990391935,27,19,2995,5050.339068770133,4931.618125118819
30.0,2.0,30.0,10.0,0.959319612223815,0.7307369198580229,31.281119942619583,0.07433242073086455,0.05684432359151711,30.76489618385958,0.5566065940731817,0.838015349610509,-33.580381990391935,28,21,2992,5478.720424024051,5438.925471249745
10.0,2.0,30.0,10.0,0.959319612223815,0.7307369198580229,31.281119942619583,0.07433242073086455,0.05684432359151711,30.76489618385958,0.5566065940731817,0.838015349610509,-33.580381990391935,31,22,2988,5478.720424024051,5438.925471249745
10.0,1.5,30.0,10.0,0.8577538321657938,0.7307369198580229,17.382030229490717,0.07071607944610299,0.05684432359151711,24.4030625718554,0.5566065940731808,0.838015349610509,-33.58038199039204,34,24,2983,2474.7950640232248,2665.542998298601
50.0,2.0,45.0,10.0,0.8369036319909666,0.7307369198580229,14.52871878344003,0.06867487233361655,0.05684432359151711,20.81219019706115,0.5863670749383635,0.838015349610509,-30.029077007850287,33,22,2986,2035.1436730000903,1868.2721896028338
50.0,2.0,60.0,10.0,0.833168736765465,0.7307369198580229,14.017605258995792,0.06822161200336975,0.05684432359151711,20.014818882549736,0.6031589542623476,0.838015349610509,-28.02530949550238,39,25,2977,1789.1994394836543,1815.4900191693937
10.0,1.0,30.0,10.0,0.8266499574190787,0.7307369198580229,13.125522326104855,0.06917544953975145,0.05684432359151711,21.692800915084725,0.5566065940731808,0.838015349610509,-33.58038199039204,35,26,2980,2112.0003628201453,2087.918987794139
30.0,1.5,30.0,10.0,0.8266499574190787,0.7307369198580229,13.125522326104855,0.06917544953975145,0.05684432359151711,21.692800915084725,0.5566065940731808,0.838015349610509,-33.58038199039204,33,25,2983,2112.0003628201453,2087.918987794139
50.0,1.0,30.0,10.0,0.8266499574190787,0.7307369198580229,13.125522326104855,0.06917544953975145,0.05684432359151711,21.692800915084725,0.5566065940731808,0.838015349610509,-33.58038199039204,35,26,2980,2112.0003628201453,2087.918987794139
30.0,1.0,30.0,10.0,0.8266499574190787,0.7307369198580229,13.125522326104855,0.06917544953975145,0.05684432359151711,21.692800915084725,0.5566065940731808,0.838015349610509,-33.58038199039204,36,26,2979,2112.0003628201453,2087.918987794139
10.0,1.0,60.0,10.0,0.8188096811426646,0.7307369198580229,12.052594975186642,0.06876435168749934,0.05684432359151711,20.96960143573783,0.6031589542623474,0.838015349610509,-28.0253094955024,54,40,2947,2209.869978256774,2198.30065153322
30.0,1.0,60.0,10.0,0.8188096811426646,0.7307369198580229,12.052594975186642,0.06876435168749934,0.05684432359151711,20.96960143573783,0.6031589542623474,0.838015349610509,-28.0253094955024,55,39,2947,2209.869978256774,2198.30065153322
30.0,1.5,60.0,10.0,0.8188096811426646,0.7307369198580229,12.052594975186642,0.06876435168749934,0.05684432359151711,20.96960143573783,0.6031589542623474,0.838015349610509,-28.0253094955024,48,37,2956,2209.869978256774,2198.30065153322
10.0,1.5,60.0,10.0,0.8188096811426646,0.7307369198580229,12.052594975186642,0.06876435168749934,0.05684432359151711,20.96960143573783,0.6031589542623474,0.838015349610509,-28.0253094955024,52,36,2953,2209.869978256774,2198.30065153322
50.0,1.0,60.0,10.0,0.8188096811426646,0.7307369198580229,12.052594975186642,0.06876435168749934,0.05684432359151711,20.96960143573783,0.6031589542623474,0.838015349610509,-28.0253094955024,54,39,2948,2209.869978256774,2198.30065153322
50.0,1.5,60.0,10.0,0.8129273638612085,0.7307369198580229,11.247610702242138,0.0684496000812337,0.05684432359151711,20.415893367140793,0.6031589542623476,0.838015349610509,-28.02530949550238,46,36,2959,2078.073102468656,2085.45632002228
10.0,2.0,60.0,10.0,0.8021171806527205,0.7307369198580229,9.768257064192994,0.06780884362634818,0.05684432359151711,19.288680631723278,0.6031589542623476,0.838015349610509,-28.02530949550238,44,32,2965,1899.7672113041697,1875.6186597915578
30.0,1.0,45.0,10.0,0.7999102412936197,0.7307369198580229,9.46624148250736,0.06837535400683986,0.05684432359151711,20.285280370621795,0.6006767963517277,0.838015349610509,-28.32150429811233,44,34,2963,1979.3451512506078,1782.5941084540784
50.0,1.0,45.0,10.0,0.7999102412936197,0.7307369198580229,9.46624148250736,0.06837535400683986,0.05684432359151711,20.285280370621795,0.6006767963517277,0.838015349610509,-28.32150429811233,43,34,2964,1979.3451512506078,1782.5941084540784
30.0,1.5,45.0,10.0,0.7999102412936197,0.7307369198580229,9.46624148250736,0.06837535400683986,0.05684432359151711,20.285280370621795,0.6006767963517277,0.838015349610509,-28.32150429811233,41,32,2968,1979.3451512506078,1782.5941084540784
10.0,1.0,45.0,10.0,0.7999102412936197,0.7307369198580229,9.46624148250736,0.06837535400683986,0.05684432359151711,20.285280370621795,0.6006767963517277,0.838015349610509,-28.32150429811233,43,35,2963,1979.3451512506078,1782.5941084540784
10.0,1.5,45.0,10.0,0.7999102412936197,0.7307369198580229,9.46624148250736,0.06837535400683986,0.05684432359151711,20.285280370621795,0.6006767963517277,0.838015349610509,-28.32150429811233,42,32,2967,1979.3451512506078,1782.5941084540784
30.0,2.0,60.0,10.0,0.7984332891214063,0.7307369198580229,9.264123301247231,0.06767822751059656,0.05684432359151711,19.058901988053908,0.6031589542623476,0.838015349610509,-28.02530949550238,41,29,2971,1887.4054986016858,1854.6850838251871
50.0,1.5,45.0,10.0,0.7940927460252825,0.7307369198580229,8.67012798252607,0.06805573308237499,0.05684432359151711,19.723006243196746,0.6006767963517269,0.838015349610509,-28.321504298112423,39,31,2971,1853.7271112449016,1681.0406941917565
10.0,2.0,45.0,10.0,0.7834019236278047,0.7307369198580229,7.207108651361728,0.06740405608588974,0.05684432359151711,18.576582193597368,0.6006767963517269,0.838015349610509,-28.321504298112423,38,28,2975,1690.3804496412868,1502.741327034276
50.0,1.0,60.0,15.0,0.7769551968556467,0.7307369198580229,6.3248859803886335,0.06908046053389691,0.05684432359151711,21.525697148423458,0.6610006554842254,0.838015349610509,-21.1230849421262,32,23,2986,2716.0835155604113,2665.9542358987965
30.0,1.0,60.0,15.0,0.7769551968556467,0.7307369198580229,6.3248859803886335,0.06908046053389691,0.05684432359151711,21.525697148423458,0.6610006554842254,0.838015349610509,-21.1230849421262,33,23,2985,2716.0835155604113,2665.9542358987965
10.0,1.0,60.0,15.0,0.7769551968556467,0.7307369198580229,6.3248859803886335,0.06908046053389691,0.05684432359151711,21.525697148423458,0.6610006554842254,0.838015349610509,-21.1230849421262,32,23,2986,2716.0835155604113,2665.9542358987965
10.0,2.0,30.0,5.0,0.7606288448148688,0.7307369198580229,4.0906548094837865,0.06573303158412966,0.05684432359151711,15.636931589663625,0.6310411325303635,0.838015349610509,-24.698141528832682,77,50,2914,1394.120013289959,1171.1183569320433
10.0,1.0,60.0,5.0,0.7531929192756712,0.7307369198580229,3.0730621113288423,0.06687304366750926,0.05684432359151711,17.642430136135427,0.6241802824757545,0.838015349610509,-25.51684372298674,112,86,2843,1384.316282085497,1247.9016021411073
50.0,1.0,60.0,5.0,0.7518317077104304,0.7307369198580229,2.8867828187066356,0.0667949437536653,0.05684432359151711,17.50503750146326,0.6241802824757534,0.838015349610509,-25.51684372298687,110,83,2848,1360.2141996864293,1227.3995018498224
