lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
50.0,1.5,30.0,10.0,1.041715700675843,0.8116305919025602,28.34850128479456,0.07869239648859841,0.06059294878084144,29.870551065637752,0.5566065940731814,0.838015349610509,-33.58038199039197,29,22,3036,7079.0924432314905,8480.74547396261
10.0,2.0,30.0,10.0,1.028778351903434,0.8116305919025602,26.75450656583227,0.07794916817649201,0.06059294878084144,28.643958983455754,0.5566065940731819,0.838015349610509,-33.580381990391906,32,21,3034,6669.749405917475,7895.457838395448
50.0,2.0,30.0,10.0,1.0135445564989998,0.8116305919025602,24.877569501554753,0.07735210080337733,0.06059294878084144,27.658584636889096,0.5566065940731814,0.838015349610509,-33.58038199039197,25,18,3044,6167.784383269198,7200.731813848423
30.0,2.0,30.0,10.0,0.9846727348304565,0.8116305919025602,21.320308112372235,0.07611103515014742,0.06059294878084144,25.610383190680025,0.556606594073181,0.838015349610509,-33.58038199039201,26,20,3041,4567.058801798364,5771.553243471111
10.0,1.5,30.0,10.0,0.9249902993180312,0.8116305919025602,13.96690915133475,0.07449401053170371,0.06059294878084144,22.94171521696526,0.5566065940731811,0.838015349610509,-33.580381990392,35,23,3029,2074.492990821911,3563.7630028245953
10.0,1.5,60.0,10.0,0.9142532402507424,0.8116305919025602,12.644009401816946,0.07314907406472687,0.06059294878084144,20.72208984134386,0.6031589542623476,0.838015349610509,-28.02530949550238,53,35,2999,2375.668466722855,4109.731619584676
30.0,1.5,60.0,10.0,0.9142532402507424,0.8116305919025602,12.644009401816946,0.07314907406472687,0.06059294878084144,20.72208984134386,0.6031589542623476,0.838015349610509,-28.02530949550238,49,35,3003,2375.668466722855,4109.731619584676
30.0,1.0,60.0,10.0,0.9142532402507424,0.8116305919025602,12.644009401816946,0.07314907406472687,0.06059294878084144,20.72208984134386,0.6031589542623476,0.838015349610509,-28.02530949550238,55,37,2995,2375.668466722855,4109.731619584676
10.0,1.0,60.0,10.0,0.9142532402507424,0.8116305919025602,12.644009401816946,0.07314907406472687,0.06059294878084144,20.72208984134386,0.6031589542623476,0.838015349610509,-28.02530949550238,54,38,2995,2375.668466722855,4109.731619584676
50.0,1.0,60.0,10.0,0.9142532402507424,0.8116305919025602,12.644009401816946,0.07314907406472687,0.06059294878084144,20.72208984134386,0.6031589542623476,0.838015349610509,-28.02530949550238,55,37,2995,2375.668466722855,4109.731619584676
10.0,2.0,60.0,10.0,0.8968962189480536,0.8116305919025602,10.50547230429308,0.07222001781463896,0.06059294878084144,19.188815312242774,0.603158954262347,0.838015349610509,-28.025309495502448,46,31,3010,1930.5160407010371,3550.3345098208833
30.0,1.0,45.0,10.0,0.894600987355201,0.8116305919025602,10.222679662449417,0.07281635911813533,0.06059294878084144,20.172991384698456,0.6006767963517274,0.838015349610509,-28.321504298112355,46,33,3008,2199.14690023927,3353.873036625856
50.0,1.0,45.0,10.0,0.894600987355201,0.8116305919025602,10.222679662449417,0.07281635911813533,0.06059294878084144,20.172991384698456,0.6006767963517274,0.838015349610509,-28.321504298112355,46,33,3008,2199.14690023927,3353.873036625856
30.0,1.5,45.0,10.0,0.894600987355201,0.8116305919025602,10.222679662449417,0.07281635911813533,0.06059294878084144,20.172991384698456,0.6006767963517274,0.838015349610509,-28.321504298112355,43,31,3013,2199.14690023927,3353.873036625856
10.0,1.5,45.0,10.0,0.894600987355201,0.8116305919025602,10.222679662449417,0.07281635911813533,0.06059294878084144,20.172991384698456,0.6006767963517274,0.838015349610509,-28.321504298112355,45,31,3011,2199.14690023927,3353.873036625856
10.0,1.0,45.0,10.0,0.894600987355201,0.8116305919025602,10.222679662449417,0.07281635911813533,0.06059294878084144,20.172991384698456,0.6006767963517274,0.838015349610509,-28.321504298112355,45,34,3008,2199.14690023927,3353.873036625856
50.0,1.0,30.0,10.0,0.8931754897118336,0.8116305919025602,10.047045863330798,0.07298195101197731,0.06059294878084144,20.446277133574796,0.5566065940731811,0.838015349610509,-33.580381990392,36,25,3026,1911.2766426390754,3326.816051112319
10.0,1.0,30.0,10.0,0.8931754897118336,0.8116305919025602,10.047045863330798,0.07298195101197731,0.06059294878084144,20.446277133574796,0.5566065940731811,0.838015349610509,-33.580381990392,35,25,3027,1911.2766426390754,3326.816051112319
30.0,1.0,30.0,10.0,0.8931754897118336,0.8116305919025602,10.047045863330798,0.07298195101197731,0.06059294878084144,20.446277133574796,0.5566065940731811,0.838015349610509,-33.580381990392,36,25,3026,1911.2766426390754,3326.816051112319
30.0,1.5,30.0,10.0,0.8931754897118336,0.8116305919025602,10.047045863330798,0.07298195101197731,0.06059294878084144,20.446277133574796,0.5566065940731811,0.838015349610509,-33.580381990392,33,24,3030,1911.2766426390754,3326.816051112319
50.0,1.5,60.0,10.0,0.880978392906252,0.8116305919025602,8.544256672377546,0.07165158563369288,0.06059294878084144,18.2506992568548,0.6031589542623477,0.838015349610509,-28.02530949550237,45,33,3009,1259.3085983023436,3169.932224021085
10.0,1.0,60.0,5.0,0.8792535256688148,0.8116305919025602,8.331737916351612,0.07332469609420489,0.06059294878084144,21.011928895246356,0.6241802824757544,0.838015349610509,-25.51684372298675,111,76,2900,1842.2592753513195,2669.9539522354326
10.0,2.0,45.0,10.0,0.8774288758206565,0.8116305919025602,8.106925068442438,0.07187262975506843,0.06059294878084144,18.615500980195655,0.6006767963517274,0.838015349610509,-28.321504298112355,41,27,3019,1778.0100949355754,2857.0362758541523
30.0,1.0,60.0,5.0,0.8766734161822496,0.8116305919025602,8.013845822053257,0.07327698576749896,0.06059294878084144,20.93318982136749,0.624180282475754,0.838015349610509,-25.516843722986803,109,75,2903,1762.3252093692709,2590.8806624485705
50.0,1.0,60.0,5.0,0.8766734161822496,0.8116305919025602,8.013845822053257,0.07327698576749896,0.06059294878084144,20.93318982136749,0.624180282475754,0.838015349610509,-25.516843722986803,108,73,2906,1762.3252093692709,2590.8806624485705
10.0,2.0,30.0,5.0,0.8744092588973329,0.8116305919025602,7.734881807203936,0.0717605651533361,0.06059294878084144,18.43055437504255,0.6310411325303642,0.838015349610509,-24.6981415288326,73,47,2967,1900.2304551133627,2595.149263438828
10.0,1.0,45.0,5.0,0.8743604385672752,0.8116305919025602,7.728866714802937,0.0734884904168111,0.06059294878084144,21.28224800976683,0.6132032256726516,0.838015349610509,-26.826731042855613,100,70,2917,1450.5486519113083,2573.472976031459
50.0,1.0,60.0,15.0,0.8705791340874247,0.8116305919025602,7.262976873097163,0.07426558817323066,0.06059294878084144,22.564736768038422,0.661000655484226,0.838015349610509,-21.123084942126123,31,22,3034,6044.884495022401,7930.263802246596
10.0,1.0,60.0,15.0,0.8705791340874247,0.8116305919025602,7.262976873097163,0.07426558817323066,0.06059294878084144,22.564736768038422,0.661000655484226,0.838015349610509,-21.123084942126123,30,22,3035,6044.884495022401,7930.263802246596
30.0,1.0,60.0,15.0,0.8705791340874247,0.8116305919025602,7.262976873097163,0.07426558817323066,0.06059294878084144,22.564736768038422,0.661000655484226,0.838015349610509,-21.123084942126123,31,22,3034,6044.884495022401,7930.263802246596
10.0,1.5,45.0,5.0,0.8661973078885012,0.8116305919025602,6.723097494148184,0.07259594874686898,0.06059294878084144,19.80923557531615,0.6132032256726515,0.838015349610509,-26.826731042855627,97,62,2928,1266.7600410412645,2335.1024009325806
10.0,1.5,60.0,5.0,0.8648285775017315,0.8116305919025602,6.554457918407046,0.0725231390919709,0.06059294878084144,19.689073648288275,0.6132032256726525,0.838015349610509,-26.826731042855506,106,67,2914,1227.569769392369,2298.951227993165
30.0,1.0,45.0,5.0,0.8634975530422075,0.8116305919025602,6.390464043261969,0.07300462813539627,0.06059294878084144,20.483702484007853,0.6132032256726521,0.838015349610509,-26.826731042855563,98,69,2920,1113.4072950935276,2298.514215540575
50.0,1.5,45.0,10.0,0.861681046879408,0.8116305919025602,6.166654568739652,0.07129966903570546,0.06059294878084144,17.669911219520188,0.6006767963517272,0.838015349610509,-28.321504298112384,39,29,3019,1107.2112041902972,2487.696963554835
30.0,2.0,45.0,10.0,0.859472968517174,0.8116305919025602,5.89459996849867,0.07082003809433085,0.06059294878084144,16.878348915613525,0.5574411348872462,0.838015349610509,-33.48079660517764,35,24,3028,1124.27101504214,2444.3071655821036
50.0,2.0,45.0,10.0,0.858817732102026,0.8116305919025602,5.813869101317824,0.07077909252824166,0.06059294878084144,16.810774112087646,0.5863670749383639,0.838015349610509,-30.029077007850237,33,22,3032,1264.712715250721,2434.6239633600576
30.0,2.0,60.0,10.0,0.8557445569484183,0.8116305919025602,5.43522699685946,0.07034516476207174,0.06059294878084144,16.094638365436015,0.6031589542623473,0.838015349610509,-28.02530949550241,41,28,3018,633.5825702229573,2578.567965720659
50.0,2.0,60.0,10.0,0.8550906937874383,0.8116305919025602,5.354665326623829,0.07030465808733286,0.06059294878084144,16.02778788934284,0.6031589542623477,0.838015349610509,-28.02530949550237,38,25,3024,746.6004275020025,2476.0137733296497
10.0,1.0,30.0,5.0,0.8509299913958401,0.8116305919025602,4.842030338107075,0.07165212244475994,0.06059294878084144,18.25158518678206,0.6021019715127304,0.838015349610509,-28.15143877823073,87,58,2942,781.1106229242683,1947.8800245044908
10.0,1.5,30.0,5.0,0.8495088206400299,0.8116305919025602,4.666929649445392,0.07157701317224838,0.06059294878084144,18.12762806962108,0.6021019715127303,0.838015349610509,-28.15143877823074,84,53,2950,745.447453728218,1919.6925418246542
30.0,1.5,60.0,15.0,0.8411856452605706,0.8116305919025602,3.6414415194392604,0.07251671120101809,0.06059294878084144,19.67846533315896,0.7037020990899878,0.838015349610509,-16.027540615210338,29,21,3037,5358.945386714329,7321.008064437872
10.0,1.5,60.0,15.0,0.8411856452605706,0.8116305919025602,3.6414415194392604,0.07251671120101809,0.06059294878084144,19.67846533315896,0.7037020990899878,0.838015349610509,-16.027540615210338,30,21,3036,5358.945386714329,7321.008064437872
30.0,1.5,45.0,5.0,0.8313225235364514,0.8116305919025602,2.4262185075763347,0.07133056931630942,0.06059294878084144,17.72090771535953,0.6132032256726521,0.838015349610509,-26.826731042855563,86,59,2942,895.6240536820895,2158.5077153254556
10.0,2.0,45.0,5.0,0.8251582594589404,0.8116305919025602,1.6667271652082205,0.07031356668787879,0.06059294878084144,16.04249026102994,0.6310411325303642,0.838015349610509,-24.6981415288326,85,53,2949,301.2470732532407,1583.0243167176973
10.0,2.0,60.0,5.0,0.8238210567329476,0.8116305919025602,1.5019720735034783,0.0702409935465384,0.06059294878084144,15.922718665818625,0.631041132530364,0.838015349610509,-24.69814152883263,91,57,2939,267.90478768849675,1567.481954778481
30.0,1.5,60.0,5.0,0.8074324124266741,0.8116305919025602,-0.5172524936554002,0.06968615741168045,0.06059294878084144,15.007040940899289,0.6241802824757544,0.838015349610509,-25.51684372298675,94,64,2929,395.1092070580227,1671.6307013650217
10.0,1.0,45.0,15.0,0.8052280507185374,0.8116305919025602,-0.7888491695482294,0.070394494801152,0.06059294878084144,16.17605054304545,0.6856634165793041,0.838015349610509,-18.180088598856187,27,20,3040,3808.7179022106507,5088.263216280926
30.0,1.0,45.0,15.0,0.8052280507185374,0.8116305919025602,-0.7888491695482294,0.070394494801152,0.06059294878084144,16.17605054304545,0.6856634165793041,0.838015349610509,-18.180088598856187,28,20,3039,3808.7179022106507,5088.263216280926
50.0,1.0,45.0,15.0,0.8052280507185374,0.8116305919025602,-0.7888491695482294,0.070394494801152,0.06059294878084144,16.17605054304545,0.6856634165793041,0.838015349610509,-18.180088598856187,28,20,3039,3808.7179022106507,5088.263216280926
30.0,1.5,45.0,15.0,0.7769147212049377,0.8116305919025602,-4.277299432029084,0.06867129679013108,0.06059294878084144,13.332158562720235,0.7252582597768317,0.838015349610509,-13.455253520843547,27,19,3041,3301.7963643015833,4778.064059575299
10.0,1.5,45.0,15.0,0.7769147212049377,0.8116305919025602,-4.277299432029084,0.06867129679013108,0.06059294878084144,13.332158562720235,0.7252582597768317,0.838015349610509,-13.455253520843547,27,19,3041,3301.7963643015833,4778.064059575299
50.0,1.5,60.0,15.0,0.7759699082535372,0.8116305919025602,-4.39370866559256,0.06973861961736424,0.06059294878084144,15.093622311734272,0.7037020990899876,0.838015349610509,-16.027540615210363,26,20,3041,2797.1956183975367,3924.312763390068
50.0,2.0,60.0,15.0,0.7759699082535372,0.8116305919025602,-4.39370866559256,0.06973861961736424,0.06059294878084144,15.093622311734272,0.7037020990899876,0.838015349610509,-16.027540615210363,25,18,3044,2797.1956183975367,3924.312763390068
50.0,1.0,45.0,5.0,0.7740503096518263,0.8116305919025602,-4.630220031830136,0.06833279702943884,0.06059294878084144,12.77351309735997,0.6132032256726521,0.838015349610509,-26.826731042855563,97,67,2923,-1206.946745396741,1845.1501770785117
30.0,2.0,30.0,5.0,0.7694811282606844,0.8116305919025602,-5.193183211967447,0.06644124374765792,0.06059294878084144,9.651774809589096,0.6310411325303635,0.838015349610509,-24.698141528832682,58,43,2986,-490.6853910204077,1525.513249284823
30.0,2.0,60.0,15.0,0.762560525069554,0.8116305919025602,-6.04586215977641,0.06899337659036203,0.06059294878084144,13.863705230626897,0.7037020990899873,0.838015349610509,-16.027540615210402,26,19,3042,2266.1525594571317,3410.4004913663184
10.0,2.0,60.0,15.0,0.762560525069554,0.8116305919025602,-6.04586215977641,0.06899337659036203,0.06059294878084144,13.863705230626897,0.7037020990899873,0.838015349610509,-16.027540615210402,26,21,3040,2266.1525594571317,3410.4004913663184
50.0,1.5,30.0,5.0,0.7587084648262958,0.8116305919025602,-6.520469731458552,0.06595086314814125,0.06059294878084144,8.842471731618213,0.6196463225011083,0.838015349610509,-26.057879155900167,70,50,2967,-739.3721755064943,1695.6504044440337
30.0,1.0,30.0,5.0,0.7519420227829465,0.8116305919025602,-7.354154675182512,0.06654557107117967,0.06059294878084144,9.823952143125204,0.6021019715127306,0.838015349610509,-28.151438778230702,84,58,2945,-1626.3409419611867,2110.599684619838
50.0,1.0,30.0,5.0,0.7519420227829465,0.8116305919025602,-7.354154675182512,0.06654557107117967,0.06059294878084144,9.823952143125204,0.6021019715127306,0.838015349610509,-28.151438778230702,86,56,2945,-1626.3409419611867,2110.599684619838
50.0,2.0,30.0,5.0,0.7458631967969622,0.8116305919025602,-8.103119296111204,0.06593809988919408,0.06059294878084144,8.821407797276064,0.6156951405765755,0.838015349610509,-26.52937194256204,52,39,2996,-1074.8924154244971,1806.6314641351032
30.0,1.5,30.0,5.0,0.7218083736543848,0.8116305919025602,-11.066884262903551,0.06487649362044497,0.06059294878084144,7.069378410838981,0.6021019715127306,0.838015349610509,-28.151438778230702,74,51,2962,-1755.1084617649744,2185.3574133613647
30.0,2.0,45.0,5.0,0.702173230183853,0.8116305919025602,-13.486105971206166,0.06353116686296227,0.06059294878084144,4.8491089165309775,0.6310411325303641,0.838015349610509,-24.698141528832615,68,46,2973,-1948.342188642697,2315.03954980271
50.0,1.5,45.0,5.0,0.6939468231824437,0.8116305919025602,-14.499671389203241,0.06329884832062409,0.06059294878084144,4.465700373107127,0.6228801385827679,0.838015349610509,-25.671989317108718,81,56,2950,-2088.957649284254,2514.711551107623
10.0,2.0,45.0,15.0,0.6939309750238931,0.8116305919025602,-14.501624021189851,0.06501734757326418,0.06059294878084144,7.301837724427865,0.7252582597768316,0.838015349610509,-13.455253520843561,26,19,3042,656.6785140360768,1937.0387893739742
50.0,1.5,60.0,5.0,0.6927125515761505,0.8116305919025602,-14.651744465133007,0.06322575210069697,0.06059294878084144,4.345065511464242,0.6228801385827685,0.838015349610509,-25.67198931710865,89,60,2938,-2108.6588465886757,2533.743926877467
50.0,1.5,45.0,15.0,0.6833238982471321,0.8116305919025602,-15.808508813678602,0.06438553494193326,0.06059294878084144,6.2591212961251,0.7252582597768318,0.838015349610509,-13.455253520843534,24,18,3045,479.7945060047268,1842.842155969603
50.0,2.0,45.0,15.0,0.6833238982471321,0.8116305919025602,-15.808508813678602,0.06438553494193326,0.06059294878084144,6.2591212961251,0.7252582597768318,0.838015349610509,-13.455253520843534,23,16,3048,479.7945060047268,1842.842155969603
30.0,2.0,60.0,5.0,0.6802471620545132,0.8116305919025602,-16.187589669343087,0.06254000817937364,0.06059294878084144,3.2133431986855614,0.6310411325303645,0.838015349610509,-24.69814152883256,76,50,2961,-2296.3623881799795,2655.7825824141073
30.0,2.0,45.0,15.0,0.670672788755726,0.8116305919025602,-17.367236345344256,0.06363250556349484,0.06059294878084144,5.016353955056996,0.7252582597768314,0.838015349610509,-13.455253520843574,24,17,3046,93.72023957322615,1761.04702813903
50.0,2.0,45.0,5.0,0.6666901326572718,0.8116305919025602,-17.857934470598302,0.06224723920647254,0.06059294878084144,2.7301698612069587,0.6156951405765757,0.838015349610509,-26.529371942562012,60,42,2985,-2580.259837946228,2942.334461659148
50.0,1.5,30.0,15.0,0.6595796277736163,0.8116305919025602,-18.73401097074446,0.06299205426307772,0.06059294878084144,3.9593806383538106,0.6467684328135922,0.838015349610509,-22.821409761265613,15,11,3061,-513.1228689602509,2243.2006472139583
50.0,2.0,30.0,15.0,0.6595796277736163,0.8116305919025602,-18.73401097074446,0.06299205426307772,0.06059294878084144,3.9593806383538106,0.6467684328135922,0.838015349610509,-22.821409761265613,15,11,3061,-513.1228689602509,2243.2006472139583
50.0,2.0,60.0,5.0,0.6452706384486262,0.8116305919025602,-20.49700382337316,0.06123424421932603,0.06059294878084144,1.058366445911206,0.6156951405765759,0.838015349610509,-26.529371942561987,65,45,2977,-2865.769500123686,3247.427639926443
