lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
50.0,2.0,60.0,5.0,0.5342337995954709,0.24145660301419136,121.25458278068785,0.04044893306237197,0.022896052642942383,76.6633475785626,0.5818844365483457,0.7138678223185265,-18.48849067625997,24,24,1167,54.659775798632204,51.58736210230251
30.0,2.0,30.0,5.0,0.5149968878249438,0.24145660301419136,113.28755618858573,0.03925872071232429,0.022896052642942383,71.46501768035387,0.5657161754218091,0.7138678223185265,-20.753372300147248,24,21,1170,44.77045584316283,46.557487669286104
50.0,2.0,30.0,5.0,0.5109831715925623,0.24145660301419136,111.62526317929265,0.03902444315553716,0.022896052642942383,70.44179520423268,0.5539970956404202,0.7138678223185265,-22.39500390406619,22,19,1174,46.578786703654615,45.41781828773906
50.0,2.0,45.0,5.0,0.4859814055956857,0.24145660301419136,101.27070435390937,0.03732933957856124,0.022896052642942383,63.03832001394291,0.5818844365483453,0.7138678223185265,-18.488490676260017,24,21,1170,41.77923839055779,38.65594913120875
50.0,2.0,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,8,1196,52.37215214757671,45.78251636699503
10.0,1.5,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
10.0,2.0,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
50.0,1.0,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
30.0,1.5,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
50.0,1.0,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,10,1194,52.37215214757671,45.78251636699503
30.0,2.0,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,8,1196,52.37215214757671,45.78251636699503
10.0,1.5,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,10,1194,52.37215214757671,45.78251636699503
50.0,1.5,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,8,1196,52.37215214757671,45.78251636699503
30.0,1.0,45.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
30.0,2.0,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
10.0,2.0,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,10,1194,52.37215214757671,45.78251636699503
50.0,1.5,60.0,15.0,0.4791792220803328,0.24145660301419136,98.45355898267547,0.03688607384464946,0.022896052642942383,61.10232807321678,0.5507999553108487,0.7138678223185265,-22.842865571116505,11,9,1195,52.37215214757671,45.78251636699503
