lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
10.0,1.0,45.0,5.0,0.6594611417506491,0.6725973500651417,-1.953056804820942,0.05513996510786028,0.05194186024219206,6.157085731539556,0.7401368853351082,0.7935036056443401,-6.725454040740879,67,62,1818,-745.0114882316002,619.3025283120612
30.0,2.0,30.0,5.0,0.6574723930044835,0.6725973500651417,-2.2487387229808933,0.05517315706117795,0.05194186024219206,6.2209878581921325,0.7911495362684411,0.7935036056443401,-0.2966677604429338,43,39,1865,-806.489914131748,636.5071637852658
30.0,1.0,45.0,5.0,0.6555784565149119,0.6725973500651417,-2.5303242049023074,0.054932713171612656,0.05194186024219206,5.758078196419978,0.7435943806604584,0.7935036056443401,-6.289728821503525,67,62,1818,-752.2736099517953,620.8942292607264
10.0,2.0,30.0,5.0,0.6492383015661116,0.6725973500651417,-3.472961720227962,0.05571545315966328,0.05194186024219206,7.265032287784634,0.6371173290681779,0.7935036056443401,-19.708325893386906,48,44,1855,-903.3571711998247,692.9528045810451
10.0,1.0,30.0,5.0,0.647613099378032,0.6725973500651417,-3.7145924950031226,0.05472876171398538,0.05194186024219206,5.365424840001279,0.7293530018526989,0.7935036056443401,-8.084475399396535,60,52,1835,-887.5742566257902,695.8914783696616
30.0,1.0,30.0,5.0,0.6437690013993473,0.6725973500651417,-4.286122843481655,0.054519414807091944,0.05194186024219206,4.962384005658223,0.7329539774360209,0.7935036056443401,-7.630668314248146,59,52,1836,-893.7252142834418,697.1135076008273
30.0,2.0,45.0,5.0,0.6433773203226267,0.6725973500651417,-4.344356952890899,0.054131971584926525,0.05194186024219206,4.216466896877623,0.7770987159843531,0.7935036056443401,-2.0673995106381278,48,46,1853,-717.267647597735,627.4188508018524
30.0,1.5,45.0,5.0,0.6360883814275657,0.6725973500651417,-5.428057162883556,0.05386143176830395,0.05194186024219206,3.6956156694454227,0.7349035528082039,0.7935036056443401,-7.384976252067799,59,55,1833,-819.8922200115641,653.4709244424726
10.0,1.5,30.0,5.0,0.6323829735173081,0.6725973500651417,-5.978967437790047,0.05484360725815795,0.05194186024219206,5.586528865997025,0.6371173290681783,0.7935036056443401,-19.708325893386853,55,51,1841,-924.8411891830248,704.4865033988808
10.0,2.0,45.0,5.0,0.6270386255363534,0.6725973500651417,-6.773550999624945,0.053449276715840696,0.05194186024219206,2.902122616748665,0.7516141902273249,0.7935036056443401,-5.279045377871999,54,53,1840,-869.1132483470491,670.5792326045967
10.0,1.5,45.0,5.0,0.6097714677685986,0.6725973500651417,-9.340786473580117,0.05250787392710666,0.05194186024219206,1.0897062259137802,0.7615110804555871,0.7935036056443401,-4.031805899958629,62,61,1824,-863.1155884526679,663.9452486063254
50.0,1.0,30.0,5.0,0.5984260959233407,0.6725973500651417,-11.027586435572095,0.05207039333366806,0.05194186024219206,0.24745569541922927,0.7516141902273247,0.7935036056443401,-5.279045377872026,57,50,1840,-984.7200950409963,728.8605540915182
30.0,1.5,30.0,5.0,0.5984260959233407,0.6725973500651417,-11.027586435572095,0.05207039333366806,0.05194186024219206,0.24745569541922927,0.7516141902273247,0.7935036056443401,-5.279045377872026,53,48,1846,-984.7200950409963,728.8605540915182
50.0,1.0,45.0,5.0,0.5900850734693022,0.6725973500651417,-12.267707654192824,0.0513745993037484,0.05194186024219206,-1.0921074751629198,0.7721607212520181,0.7935036056443401,-2.6897022572432023,65,60,1822,-882.9702274769453,675.4751155405467
50.0,2.0,45.0,5.0,0.5596460092844542,0.6725973500651417,-16.793307432708147,0.04979662820069932,0.05194186024219206,-4.130063943590103,0.8305658748515231,0.7935036056443401,4.670712135843133,46,44,1857,-952.7243503475606,699.8799518445842
50.0,1.5,45.0,5.0,0.5508521420762862,0.6725973500651417,-18.100756414973137,0.04932650982445604,0.05194186024219206,-5.035149695334903,0.8206470343199933,0.7935036056443401,3.4207064066977035,54,55,1838,-980.5538822378579,718.272747629734
50.0,2.0,30.0,5.0,0.5387842607953215,0.6725973500651417,-19.894977174212812,0.04879555226964722,0.05194186024219206,-6.057364826508679,0.8207595125498127,0.7935036056443401,3.4348812924851577,41,38,1868,-1047.009823546146,722.8240027953584
30.0,2.0,60.0,5.0,0.5135007556567066,0.6725973500651417,-23.654062031767804,0.04673682766007371,0.05194186024219206,-10.020882112901933,0.7468803665336086,0.7935036056443401,-5.875617801745533,49,46,1852,-1064.9493059144056,715.377517431347
50.0,1.5,30.0,5.0,0.5113187314944954,0.6725973500651417,-23.978479629012263,0.04708009124836986,0.05194186024219206,-9.360020937165078,0.8207595125498124,0.7935036056443401,3.434881292485116,49,46,1852,-1098.528810850879,774.1021660165118
10.0,1.0,60.0,5.0,0.49491063284983294,0.6725973500651417,-26.417992458355595,0.045735575204194204,0.05194186024219206,-11.948522846620202,0.7182496420865108,0.7935036056443401,-9.48375823657684,71,63,1813,-1097.2976492515768,719.8441028936509
30.0,1.0,60.0,5.0,0.49160151797781304,0.6725973500651417,-26.909982929578746,0.04553720904625391,0.05194186024219206,-12.330423219489713,0.7219983485801494,0.7935036056443401,-9.01133360397613,71,63,1813,-1101.5307727047762,721.0386801767185
10.0,1.0,30.0,10.0,0.48735039440808214,0.6725973500651417,-27.542028769384565,0.04556942089798009,0.05194186024219206,-12.268408013303441,0.7240449382021743,0.7935036056443401,-8.75341547890813,34,23,1890,-965.4040225318095,670.8615784060387
30.0,1.0,30.0,10.0,0.4840700521863992,0.6725973500651417,-28.029741398844855,0.04536601762429453,0.05194186024219206,-12.660005989843262,0.7277165379111316,0.7935036056443401,-8.29070810330952,33,23,1891,-970.9753612838867,672.2248326296744
30.0,1.0,60.0,15.0,0.47935209860939954,0.6725973500651417,-28.731194292844915,0.04502404713135223,0.05194186024219206,-13.31837766029898,0.7168493612263793,0.7935036056443401,-9.660226352180977,27,23,1897,-941.669296114788,640.8358308657204
10.0,1.0,60.0,15.0,0.47935209860939954,0.6725973500651417,-28.731194292844915,0.04502404713135223,0.05194186024219206,-13.31837766029898,0.7168493612263793,0.7935036056443401,-9.660226352180977,27,23,1897,-941.669296114788,640.8358308657204
30.0,1.0,45.0,15.0,0.47935209860939954,0.6725973500651417,-28.731194292844915,0.04502404713135223,0.05194186024219206,-13.31837766029898,0.7168493612263793,0.7935036056443401,-9.660226352180977,24,23,1900,-941.669296114788,640.8358308657204
10.0,1.0,45.0,15.0,0.47935209860939954,0.6725973500651417,-28.731194292844915,0.04502404713135223,0.05194186024219206,-13.31837766029898,0.7168493612263793,0.7935036056443401,-9.660226352180977,24,23,1900,-941.669296114788,640.8358308657204
30.0,1.5,60.0,5.0,0.47573550548102794,0.6725973500651417,-29.268899820233823,0.04459091369692221,0.05194186024219206,-14.15225891216487,0.7349035528082034,0.7935036056443401,-7.384976252067855,61,55,1831,-1166.4274850105926,755.8568562662907
10.0,1.0,45.0,10.0,0.4704191741724939,0.6725973500651417,-30.059317937108528,0.044432601245914215,0.05194186024219206,-14.45704670811562,0.7302822456081527,0.7935036056443401,-7.967368968015015,40,27,1880,-988.6928172434913,681.7093854589381
10.0,2.0,60.0,5.0,0.4680455715926941,0.6725973500651417,-30.41221890818281,0.04415297165330747,0.05194186024219206,-14.995397840136887,0.751614190227325,0.7935036056443401,-5.279045377871984,56,53,1838,-1193.2002885440786,765.248368541952
30.0,1.0,45.0,10.0,0.46720425716957426,0.6725973500651417,-30.537303317605236,0.04423062083956882,0.05194186024219206,-14.845905338522018,0.7338708575440023,0.7935036056443401,-7.515119991410106,39,27,1881,-993.954297095615,683.0865934329748
10.0,1.5,30.0,10.0,0.4665475464890072,0.6725973500651417,-30.63494132948611,0.044288315759845355,0.05194186024219206,-14.734829377808412,0.7467427240843939,0.7935036056443401,-5.892963967312467,32,22,1893,-1005.9116824762453,689.0376710555548
50.0,1.0,30.0,10.0,0.4665475464890072,0.6725973500651417,-30.63494132948611,0.044288315759845355,0.05194186024219206,-14.734829377808412,0.7467427240843939,0.7935036056443401,-5.892963967312467,32,23,1892,-1005.9116824762453,689.0376710555548
30.0,1.5,30.0,10.0,0.4665475464890072,0.6725973500651417,-30.63494132948611,0.044288315759845355,0.05194186024219206,-14.734829377808412,0.7467427240843939,0.7935036056443401,-5.892963967312467,30,23,1894,-1005.9116824762453,689.0376710555548
10.0,2.0,60.0,15.0,0.46192788628701,0.6725973500651417,-31.321780223744287,0.043950308616035993,0.05194186024219206,-15.385570691718458,0.7366349065072262,0.7935036056443401,-7.166785220961337,26,23,1898,-978.7399606277824,659.9406764358704
10.0,1.5,45.0,15.0,0.46192788628701,0.6725973500651417,-31.321780223744287,0.043950308616035993,0.05194186024219206,-15.385570691718458,0.7366349065072262,0.7935036056443401,-7.166785220961337,23,23,1901,-978.7399606277824,659.9406764358704
50.0,1.5,60.0,15.0,0.46192788628701,0.6725973500651417,-31.321780223744287,0.043950308616035993,0.05194186024219206,-15.385570691718458,0.7366349065072262,0.7935036056443401,-7.166785220961337,26,23,1898,-978.7399606277824,659.9406764358704
30.0,1.5,60.0,15.0,0.46192788628701,0.6725973500651417,-31.321780223744287,0.043950308616035993,0.05194186024219206,-15.385570691718458,0.7366349065072262,0.7935036056443401,-7.166785220961337,26,22,1899,-978.7399606277824,659.9406764358704
30.0,2.0,60.0,15.0,0.46192788628701,0.6725973500651417,-31.321780223744287,0.043950308616035993,0.05194186024219206,-15.385570691718458,0.7366349065072262,0.7935036056443401,-7.166785220961337,24,21,1902,-978.7399606277824,659.9406764358704
